ident,bst,tier
wishiwashi,175,1
blipbug,180,1
sunkern,180,1
snom,185,1
azurill,190,1
kricketot,194,1
caterpie,195,1
weedle,195,1
wurmple,195,1
ralts,198,1
cosmog,200,1
feebas,200,1
magikarp,200,1
scatterbug,200,1
cascoon,205,1
kakuna,205,1
metapod,205,1
pichu,205,1
pichu_alola,205,1
silcoon,205,1
bounsweet,210,1
igglybuff,210,1
nymble,210,1
tarountula,210,1
tyrogue,210,1
wooper,210,1
wooper_paldea,210,1
spewpa,213,1
sentret,215,1
cleffa,218,1
happiny,220,1
lotad,220,1
poochyena,220,1
seedot,220,1
burmy,224,1
burmy_sandy,224,1
burmy_trash,224,1
wimpod,230,1
shedinja,236,1
bunnelby,237,1
makuhita,237,1
pawmi,240,1
rolycoly,240,1
whismur,240,1
zigzagoon,240,1
zigzagoon_galar,240,1
toxel,242,1
combee,244,1
nickit,245,1
noibat,245,1
rookidee,245,1
starly,245,1
togepi,245,1
wiglett,245,1
zubat,245,1
bidoof,250,1
fomantis,250,1
gossifleur,250,1
hoppip,250,1
marill,250,1
slugma,250,1
smeargle,250,1
spinarak,250,1
swinub,250,1
pidgey,251,1
rattata,253,1
rattata_alola,253,1
yungoos,253,1
lechonk,254,1
charcadet,255,1
flittle,255,1
patrat,255,1
applin,260,1
skitty,260,1
smoliv,260,1
venipede,260,1
wynaut,260,1
hoothoot,262,1
spearow,262,1
shinx,263,1
pidove,264,1
diglett,265,1
diglett_alola,265,1
hatenna,265,1
impidimp,265,1
ledyba,265,1
pikipek,265,1
nincada,266,1
dewpider,269,1
surskit,269,1
dreepy,270,1
jigglypuff,270,1
milcery,270,1
rellor,270,1
taillow,270,1
wingull,270,1
wooloo,270,1
yamper,270,1
tadbulb,272,1
nidoranm,273,1
bramblin,275,1
cherubi,275,1
lillipup,275,1
litwick,275,1
nidoranf,275,1
skwovet,275,1
tynamo,275,1
fletchling,278,1
kirlia,278,1
arrokuda,280,1
budew,280,1
cottonee,280,1
mareep,280,1
meditite,280,1
nacli,280,1
petilil,280,1
petilil_hisui,280,1
rockruff,280,1
rockruff_own_tempo,280,1
roggenrola,280,1
slakoth,280,1
wattrel,280,1
purrloin,281,1
chewtle,284,1
chingling,285,1
morelull,285,1
paras,285,1
riolu,285,1
barboach,288,1
ditto,288,1
ekans,288,1
inkay,288,1
helioptile,289,1
bonsly,290,1
gothita,290,1
greavard,290,1
meowth,290,1
meowth_alola,290,1
meowth_galar,290,1
pineco,290,1
shroodle,290,1
solosis,290,1
spheal,290,1
steenee,290,1
trapinch,290,1
munna,292,1
sandile,292,1
foongus,294,1
tympole,294,1
blitzle,295,1
duskull,295,1
electrike,295,1
horsea,295,1
shroomish,295,1
shuppet,295,1
tinkatink,297,1
vulpix,299,1
vulpix_alola,299,1
bagon,300,1
baltoy,300,1
beldum,300,1
bellsprout,300,1
bronzor,300,1
croagunk,300,1
deino,300,1
dratini,300,1
geodude,300,1
geodude_alola,300,1
gible,300,1
gimmighoul,300,1
gimmighoul_roaming,300,1
goomy,300,1
goomy_hisui,300,1
grubbin,300,1
jangmoo,300,1
klink,300,1
larvitar,300,1
meltan,300,1
minccino,300,1
poliwag,300,1
remoraid,300,1
sandshrew,300,1
sandshrew_alola,300,1
snorunt,300,1
snubbull,300,1
varoom,300,1
gulpin,302,1
flabebe,303,1
flabebe_blue,303,1
flabebe_orange,303,1
flabebe_white,303,1
flabebe_yellow,303,1
golett,303,1
yamask,303,1
yamask_galar,303,1
bergmite,304,1
bergmite_hisui,304,1
cutiefly,304,1
carvanha,305,1
cubchoo,305,1
ducklett,305,1
ferroseed,305,1
machop,305,1
mankey,305,1
mareanie,305,1
numel,305,1
shellder,305,1
shelmet,305,1
